City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
150,Kabare,CD,60.91,-2.4683,28.8242,Hôtel Panorama
152,Cartagena,CO,84.2,10.3997,-75.5144,Costa Del Sol
154,Kasane,BW,67.17,-17.8167,25.15,The Old House
155,La Palma,US,69.01,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
162,Coihaique,CL,77.0,-45.5752,-72.0662,Diego De Almagro Coyhaique
165,Port-Gentil,GA,77.0,-0.7193,8.7815,Fengshui Residence
168,Hobyo,SO,77.07,5.3505,48.5268,Halane Hotel and Restaurent
174,Marawi,PH,75.0,7.9986,124.2928,Derogongan Residence
175,Goundam,ML,70.0,16.4145,-3.6708,
176,Caravelas,BR,75.99,-17.7125,-39.2481,Pousada dos Navegantes
177,Chadiza,ZM,66.24,-14.0678,32.4392,Sankhani Lodge
180,Sao Miguel Do Araguaia,BR,69.13,-13.275,-50.1628,Hotel Executivo Palace
181,Dwarka,IN,67.66,22.2394,68.9678,Hotel Narayan Avezika Comfort
182,Pompeu,BR,66.94,-19.2244,-44.9353,
183,Iracoubo,GF,78.3,5.4802,-53.2011,Le Gite D Iracoubo
184,Nioro,GM,76.1,13.35,-15.75,
187,Iquitos,PE,78.8,-3.7481,-73.2472,Cortez Malaga Techy Caroly
188,Mumford,GH,80.65,5.2618,-0.759,Spanish Villa
190,Omboue,GA,78.55,-1.5746,9.2618,Hotel Olako
191,Massakory,TD,66.74,12.995999999999999,15.7293,
192,Boa Vista,BR,82.4,2.8197,-60.6733,Aipana Plaza Hotel
195,Sao Filipe,CV,68.88,14.8961,-24.4956,Tortuga B&B
198,Nsanje,MW,75.4,-16.92,35.262,Nsanje Discovery Lodge
203,Bahia De Caraquez,EC,82.4,-0.6,-80.4167,La Piedra Hotel
204,Eirunepe,BR,76.75,-6.6603,-69.8736,Atrás de você
210,Paraguacu,BR,64.54,-21.5472,-45.7375,Matinada Palace Hotel
211,Kita,ML,72.27,13.0349,-9.4895,Hôtel Chat Rouge
